Number Methods


Method	Description

isFinite()	Checks whether a value is a finite number

isInteger()	Checks whether a value is an integer

isNaN()	Checks whether a value is Number.NaN

isSafeInteger()	Checks whether a value is a safe integer

toExponential(x)	Converts a number into an exponential notation

toFixed(x)	Formats a number with x numbers of digits after the decimal point

toLocaleString()	Converts a number into a string, based on the locale settings

toPrecision(x)	Formats a number to x length

toString()	Converts a number to a string

valueOf()	Returns the primitive value of a number
